N,S_actual,n_failed,E_bias,E_spread,E_total,identity_err,xc_mean,xc_std,nu_mean,nu_std,mean_rt
100,50,0,0.023268630395208958,0.13472135468633517,0.1367160289395145,0.0,1.9832746650999373,0.08307111509406007,0.5205669198939341,0.10695523463891318,0.003984576698858291
200,50,0,0.015862422228328524,0.09617025420828537,0.09746965801435849,1.423805940282471e-16,1.9939210116739423,0.060119820369012256,0.519711112336389,0.06737125160727671,0.00405614085495472
400,50,0,0.010543803640819815,0.06193835159653649,0.06282938161172955,0.0,1.9924201536407449,0.03594936704407113,0.5086544442928065,0.04825755963472602,0.005621540837455541
800,50,0,0.007779648461160033,0.04632556524196337,0.0469742581119344,0.0,2.000923594416241,0.027948425305967743,0.5055470420622243,0.027701890117787748,0.008788081693928688
1600,50,0,0.0063823445888609165,0.030504804358861184,0.03116532386200019,0.0,2.0039901359087686,0.017022091205536986,0.5064800911034251,0.023911152957272436,0.015592375798150896
3200,50,0,0.0026106724190533073,0.02116269038392282,0.021323111282488417,1.6270828895419657e-16,1.998742120573806,0.009720954968357292,0.5004615699358661,0.017319528547431587,0.03114972002338618
6400,50,0,0.0033576356916351475,0.017282285347326176,0.017605428261310407,1.9706688757910264e-16,2.000373274244935,0.010514576842984957,0.5045224512886048,0.0118894424237263,0.06717211746610702
