seed,arm,seconds,error_l2
0,original,0.2407258750172332,0.019448798449476667
0,compensated,0.2794550840044394,0.012248190284370105
0,mean,0.21443016699049622,0.012957337752272353
1,compensated,0.27851579093839973,0.010469250508486289
1,mean,0.21190045808907598,0.015168977076913047
1,original,0.24292995792347938,0.01026375814223945
2,mean,0.21351250004954636,0.010130582876495766
2,original,0.23844312503933907,0.012215859609206273
2,compensated,0.2832630410557613,0.013811957676052073
3,original,0.24128108390141279,0.01984878410968054
3,compensated,0.27956070902291685,0.011401592090635959
3,mean,0.2134940419346094,0.010738631497218938
4,compensated,0.2809821249684319,0.009905500907065158
4,mean,0.21361070801503956,0.014895407076551148
4,original,0.24351566599216312,0.01787081703065665
5,mean,0.21357900009024888,0.020496127862989193
5,original,0.24308100005146116,0.022705418399388153
5,compensated,0.28279574995394796,0.018952946167184744
6,original,0.2438375409692526,0.020858287173736466
6,compensated,0.28084341692738235,0.014353374315101237
6,mean,0.21266512502916157,0.01273858391449965
7,compensated,0.2838766670320183,0.011252534142931966
7,mean,0.2117619999917224,0.010409037739179007
7,original,0.24273991701193154,0.019984289877407954
8,mean,0.21504545805510134,0.01061720336253308
8,original,0.247469374909997,0.019934956353188923
8,compensated,0.28128833300434053,0.011532360787651335
9,original,0.24549100000876933,0.01693937422802959
9,compensated,0.2847107080742717,0.013122219428958986
9,mean,0.21379879105370492,0.009274879503926213
10,compensated,0.28065216599497944,0.010371115323215658
10,mean,0.21330137504264712,0.011273452250029944
10,original,0.2456851250026375,0.0207020807125005
11,mean,0.21499545802362263,0.01264036862300737
11,original,0.24339987500570714,0.018645001449042336
11,compensated,0.28393875004258007,0.012835486997770618
12,original,0.24365349998697639,0.01895140985700641
12,compensated,0.28295683301985264,0.010643621647051937
12,mean,0.21331233298406005,0.009223461801681293
13,compensated,0.279476166004315,0.010273640412958031
13,mean,0.2118092910386622,0.011997468884218305
13,original,0.24475770897697657,0.021944520467302536
14,mean,0.21501958405133337,0.009030335400398576
14,original,0.24467108398675919,0.019037506153636405
14,compensated,0.2787901669507846,0.010486989526439826
15,original,0.24506287497933954,0.01908410794043504
15,compensated,0.2825959170004353,0.011211537036201038
15,mean,0.2145396249834448,0.010538077834249263
16,compensated,0.28336737502831966,0.011764073483917673
16,mean,0.2149760000174865,0.011755112213491868
16,original,0.24391933297738433,0.020097316645559374
17,mean,0.2135482500307262,0.023047314745983784
17,original,0.24577708391007036,0.020219445698082116
17,compensated,0.2798178329830989,0.02171727720653201
18,original,0.2422063749982044,0.022369238531468535
18,compensated,0.28133683395572007,0.011950839427073652
18,mean,0.21496883302461356,0.008897129297544172
19,compensated,0.28310562507249415,0.018125097814759655
19,mean,0.21337141701951623,0.014908281227856859
19,original,0.24243341700639576,0.01926991390850685
20,mean,0.21324566705152392,0.0197483557481103
20,original,0.2453068750910461,0.034663847989814936
20,compensated,0.28389312501531094,0.014795915869927664
21,original,0.23935929196886718,0.01614989794852701
21,compensated,0.279530750005506,0.018021964500443497
21,mean,0.21447024994995445,0.012489172876449253
22,compensated,0.2801585830748081,0.009972555887599138
22,mean,0.21441529202274978,0.012643962271064546
22,original,0.23990716703701764,0.015057508816427007
23,mean,0.21145637496374547,0.012580183914613548
23,original,0.24329283297993243,0.024514133013431343
23,compensated,0.2808033749461174,0.012870654932298007
24,original,0.24461887497454882,0.019707765543976956
24,compensated,0.2829915418988094,0.010257217155821638
24,mean,0.21511733310762793,0.010604295797600707
25,compensated,0.28254016605205834,0.011181477929254632
25,mean,0.21288837504107505,0.012933706190473508
25,original,0.24219704198185354,0.010620891039160599
26,mean,0.21448425005655736,0.008715061266159741
26,original,0.24126879207324237,0.020537725630482912
26,compensated,0.2855034579988569,0.015583921573008943
27,original,0.24289675010368228,0.025160290737197194
27,compensated,0.2771022920496762,0.014838691685484236
27,mean,0.21455291693564504,0.01485572773742953
28,compensated,0.28319125005509704,0.008326435594864979
28,mean,0.21663283300586045,0.007277950378097043
28,original,0.24408820807002485,0.020156571869664887
29,mean,0.2120074579725042,0.01355328978021328
29,original,0.24585329100955278,0.014418338342560507
29,compensated,0.2826757919974625,0.012968571659581339
30,original,0.24469658406451344,0.015702550980901862
30,compensated,0.2815298340283334,0.012614598185011063
30,mean,0.21329975000116974,0.017267009308651743
31,compensated,0.2798822909826413,0.008219959078151646
31,mean,0.2132574999704957,0.006976961421537471
31,original,0.2420314169721678,0.0173658784315182
32,mean,0.21137116698082536,0.016944410708242333
32,original,0.2477276249555871,0.014803170599795832
32,compensated,0.2817293331027031,0.013489887014983961
33,original,0.24351433396805078,0.02385112164472288
33,compensated,0.2751583330100402,0.014374378647657624
33,mean,0.2153175410348922,0.012519075689495163
34,compensated,0.28108754206914455,0.020130984720154427
34,mean,0.2146091249305755,0.014401435293942973
34,original,0.24477099999785423,0.03683458755522112
35,mean,0.21414625004399568,0.014784814821076474
35,original,0.24430383299477398,0.022685235993936907
35,compensated,0.27931012492626905,0.015808875092385863
36,original,0.2443429590202868,0.024882484179582186
36,compensated,0.28258245799224824,0.01026637275639051
36,mean,0.21384570805821568,0.011602687740545976
37,compensated,0.28760054195299745,0.009548553046628492
37,mean,0.2120381660060957,0.011363144255341831
37,original,0.2454939589370042,0.023857116725882057
38,mean,0.21467408305034041,0.007886196300562875
38,original,0.23842383304145187,0.02129618451419643
38,compensated,0.2777330829994753,0.01053973686753971
39,original,0.2376775830052793,0.02082000635978678
39,compensated,0.28065604192670435,0.010796095878305462
39,mean,0.21270533301867545,0.013859935637263194
40,compensated,0.2771941660903394,0.015150970977208491
40,mean,0.21527475002221763,0.013968350153523395
40,original,0.2418124999385327,0.01400877874348538
41,mean,0.20910987502429634,0.013787765083876942
41,original,0.2772702920483425,0.013902260393617132
41,compensated,0.2922798750223592,0.013060999058506259
42,original,0.24018470896407962,0.025624585255324708
42,compensated,0.2759242500178516,0.018251772704197217
42,mean,0.21190179197583348,0.01759765407441631
43,compensated,0.4278889170382172,0.013871810252911537
43,mean,0.2121404999634251,0.008395260572419681
43,original,0.24071008304599673,0.015095223552909338
44,mean,0.209734708070755,0.011473967869309543
44,original,0.24456566700246185,0.01620327619960761
44,compensated,0.27610070793889463,0.009955787848824815
45,original,0.23760641599074006,0.025180885997946018
45,compensated,0.2780792920384556,0.014982584882264616
45,mean,0.21847829199396074,0.01390400024137027
46,compensated,0.2806205420056358,0.011110806275105084
46,mean,0.21221483300905675,0.00983099483046264
46,original,0.24480795802082866,0.014556513807144237
47,mean,0.20998687495011836,0.013836250354620556
47,original,0.24652333301492035,0.03116736533252834
47,compensated,0.28418620803859085,0.011697960442686799
48,original,0.2423927920171991,0.021027252496062278
48,compensated,0.27819587499834597,0.0147941630401541
48,mean,0.20956729201134294,0.01400514998230385
49,compensated,0.2784102500882,0.008918870609928341
49,mean,0.22025333403144032,0.010897162145912978
49,original,0.23935254104435444,0.01843255859737028
