seed,arm,seconds,error_l2
0,original,0.06516433297656476,0.021100205663474716
0,compensated,0.07749649998731911,0.014988273465184535
0,mean,0.058252249960787594,0.011475477838783004
1,compensated,0.07692604197654873,0.009717133182777784
1,mean,0.060335207963362336,0.02479950232184028
1,original,0.066057667019777,0.022607979740302448
2,mean,0.059867791016586125,0.012134945225403287
2,original,0.0658376250648871,0.0211281118302782
2,compensated,0.07559274998493493,0.013099636649155172
3,original,0.06617000000551343,0.02025951132960408
3,compensated,0.07452962500974536,0.010394396904920245
3,mean,0.058876542025245726,0.010691620629547075
4,compensated,0.07637920801062137,0.009032044253714745
4,mean,0.05905641696881503,0.008591808005190736
4,original,0.06570445804391056,0.021466377221188652
5,mean,0.060932249994948506,0.011928180079247163
5,original,0.06676695798523724,0.01555174274132269
5,compensated,0.07439791690558195,0.013392609580619894
6,original,0.06590037501882762,0.012456251431637966
6,compensated,0.07463620905764401,0.013213551325755019
6,mean,0.059182874974794686,0.009873622160573367
7,compensated,0.07502404099795967,0.009912694989887985
7,mean,0.05822187499143183,0.010264593733100697
7,original,0.06619691709056497,0.019393112431733927
8,mean,0.05885237501934171,0.015489233642848226
8,original,0.06613387505058199,0.023128354940724592
8,compensated,0.0760369161143899,0.013508547008673991
9,original,0.0659310839837417,0.034163422858147524
9,compensated,0.07588979101274163,0.01920128219979711
9,mean,0.058418208034709096,0.017933097307238268
10,compensated,0.07418266695458442,0.0240897660657411
10,mean,0.060151124955154955,0.01917460452899636
10,original,0.06597116694319993,0.0232016453586583
11,mean,0.05834145797416568,0.00987858422440448
11,original,0.06720308295916766,0.016415824150448906
11,compensated,0.07474437495693564,0.012080327708877904
12,original,0.06693108298350126,0.018549962101734308
12,compensated,0.07401787501294166,0.008560007609984231
12,mean,0.05861416703555733,0.008913159930665243
13,compensated,0.0755789999384433,0.01380476936255098
13,mean,0.05832604202441871,0.011145459406145112
13,original,0.06667966698296368,0.017917880359884703
14,mean,0.059788209036923945,0.01815615558218232
14,original,0.0652579580200836,0.0179239812160731
14,compensated,0.0758519999217242,0.010995172640479185
15,original,0.0679157079430297,0.018926732869127
15,compensated,0.07482758304104209,0.010350205404993009
15,mean,0.05916125001385808,0.01021320473189373
16,compensated,0.07617570809088647,0.009199898047184647
16,mean,0.060117874993011355,0.00866550418170966
16,original,0.06560183397959918,0.019197593468165894
17,mean,0.05996604193933308,0.01202762846219558
17,original,0.06612395797856152,0.02134940326181012
17,compensated,0.07490350003354251,0.013831933617044469
18,original,0.06616970791947097,0.0089785404037229
18,compensated,0.07486199995037168,0.00985200833455812
18,mean,0.057802541996352375,0.014189329282637383
19,compensated,0.07525329093914479,0.011394560573534235
19,mean,0.05980870791245252,0.012837283165068868
19,original,0.06603158393409103,0.020119117614883632
20,mean,0.06019512505736202,0.016200277113862127
20,original,0.06659775006119162,0.02951923807613633
20,compensated,0.07780458405613899,0.013082845050359315
21,original,0.06509645795449615,0.01046204903263468
21,compensated,0.07375441596377641,0.010514085639020078
21,mean,0.05970162502489984,0.009542575823968181
22,compensated,0.07833549997303635,0.01081844002371721
22,mean,0.05836362508125603,0.011873983445673727
22,original,0.06563070800621063,0.016416967609087486
23,mean,0.05925091600511223,0.01706117867858373
23,original,0.06625458295457065,0.02654445388215395
23,compensated,0.07576579204760492,0.016034549554761184
24,original,0.06757320801261812,0.018137017565144343
24,compensated,0.07504604198038578,0.010584603007579598
24,mean,0.05894433392677456,0.011759607696792495
25,compensated,0.07512508309446275,0.015221084787993748
25,mean,0.05809654202312231,0.009122948973075902
25,original,0.0661802920512855,0.018662532600059886
26,mean,0.05833658401388675,0.008138006174328364
26,original,0.06569333304651082,0.015150752506642459
26,compensated,0.07567712501622736,0.004515290294355465
27,original,0.06635050009936094,0.017584663657648596
27,compensated,0.07541383302304894,0.016245670715639128
27,mean,0.058918749913573265,0.011214949465453804
