A,nu,a,at,dt,dtt,taut,n_steps,arm,seed,A_hat,xc_hat,nu_hat,fit_rms,at_bound,l2_vs_exact,runtime_s
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,9,1.0000387998947213,2.0332627362232674,0.5033118611962755,0.0028402341215173084,0,0.04106039676327124,0.23100305957320547
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,9,1.0004115057194052,2.042375986789793,0.49700981710468844,0.0037787023861020805,0,0.05259576874861951,0.23100305957320547
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,10,1.0001913442538133,2.0177902593290877,0.5106590832368213,0.0027713095939025456,0,0.02812631716494118,0.22956457729118743
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,10,0.9999790442488373,2.0201455788783615,0.5107454915094243,0.002043426738441175,0,0.028944940365128808,0.22956457729118743
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,10,0.9995494694680996,2.0178669595461365,0.4931583743478832,0.003106730398237178,0,0.026928872517735455,0.22956457729118743
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,10,0.9996490987963106,2.012309182542477,0.48740190050891996,0.0022430977260680884,0,0.024058410295297684,0.22956457729118743
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,10,0.9998313124931434,2.0129555767130105,0.485311498459918,0.00206888365437744,0,0.026274915581188767,0.22956457729118743
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,10,1.0000250397539507,2.033561520508313,0.49844232286439993,0.0015274905037208312,0,0.039554534787022824,0.22956457729118743
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,10,0.9995896602275608,1.9901813717599777,0.505922889135539,0.0022330535471405105,0,0.018062393629722378,0.22956457729118743
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,11,1.0000799850099313,1.9903977597616007,0.5020118883748037,0.0019742564547538186,0,0.014923539398410643,0.237620619142295
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,11,1.0001669368154857,1.981868185903638,0.4988151447125571,0.0026033008797251658,0,0.02460513037936124,0.237620619142295
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,11,1.000439647834841,1.982134650477371,0.5024333542139586,0.0026023405189512234,0,0.024427089300471848,0.237620619142295
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,11,0.9998345798391154,1.988527797969966,0.503878254337614,0.002332410684048124,0,0.018345720376633012,0.237620619142295
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,11,0.9995775830055755,1.991371754875884,0.49239112193934803,0.0021095893314675845,0,0.017079822550697125,0.237620619142295
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,11,0.9998904632996667,1.9687094849861102,0.49391786113718344,0.0025176057466664106,0,0.039062374613432024,0.237620619142295
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,11,0.9996583304941932,1.9238950116009375,0.4971994447109749,0.003010815005096422,0,0.08925025445170036,0.237620619142295
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,12,1.0000960147542803,2.004216640638579,0.5028511310266436,0.002165685756850052,0,0.012219569517250764,0.22975111900762255
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,12,0.9999366355200002,2.001317442001086,0.4988122419830803,0.001956345908313483,0,0.009823943080489821,0.22975111900762255
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,12,1.0002724933880347,2.0150634627737154,0.5011102997515939,0.0020904981672544925,0,0.020233824289754537,0.22975111900762255
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,12,1.0000959364078257,2.0323763302113145,0.5002649455127565,0.003092851993393054,0,0.040337862571112895,0.22975111900762255
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,12,1.00059450155113,2.0401757232560898,0.5116986329288166,0.002763350241218308,0,0.05016245887948375,0.22975111900762255
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,12,0.9997929316297746,2.0280458942086406,0.490662486851403,0.0017206326550419575,0,0.035625003661822766,0.22975111900762255
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,12,0.9998773384544689,1.9998550045859638,0.5050026952712425,0.00147293494318182,0,0.009947556685311757,0.22975111900762255
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,13,1.0000815016378033,1.9944361477452686,0.5022757085509642,0.002019849092259953,0,0.012148678801597949,0.23233316657466016
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,13,1.0001423238750404,2.0011425056013867,0.5000750402325931,0.001502514625070044,0,0.007516807315701589,0.23233316657466016
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,13,1.000387038074957,2.0099217935903093,0.510367564948388,0.002597025797758266,0,0.02135380277005129,0.23233316657466016
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,13,1.0004469093401356,2.0210759412340313,0.5127065706262923,0.0022629564819944834,0,0.03085583276486428,0.23233316657466016
