seed,arm,seconds,error_l2
0,original,0.242672709049657,0.011994160072272619
0,compensated,0.2790628749644384,0.011444339723325187
0,mean,0.21319437504280359,0.009672101244022787
1,compensated,0.2815576249267906,0.014097969269683186
1,mean,0.2120775830699131,0.009322358802155071
1,original,0.23889720893930644,0.01215188857065464
2,mean,0.21244354196824133,0.019921116149974
2,original,0.2407364589162171,0.015160406473327536
2,compensated,0.27584420796483755,0.016335709652858552
3,original,0.23949975008144975,0.008923653311239248
3,compensated,0.2797877499833703,0.009411198216835807
3,mean,0.21248670807108283,0.00950056694834137
4,compensated,0.2786785840289667,0.010913200227176564
4,mean,0.21457675006240606,0.010034503443107887
4,original,0.24263024993706495,0.012476453799413069
5,mean,0.20980920910369605,0.009760775542475657
5,original,0.23978279205039144,0.011512503955999667
5,compensated,0.2789210829650983,0.012266668452965406
6,original,0.23963433306198567,0.012762950861510804
6,compensated,0.2757020000135526,0.014476724931450344
6,mean,0.21610979200340807,0.01246165318410839
7,compensated,0.27991991699673235,0.015361322410993772
7,mean,0.2107162500033155,0.015889855650969658
7,original,0.23998358403332531,0.020162471029539934
8,mean,0.21673687500879169,0.007652367776435378
8,original,0.24020987504627556,0.00928064999214323
8,compensated,0.2771451249718666,0.00798767704207839
9,original,0.23823120794259012,0.012037107630145968
9,compensated,0.2786995420465246,0.014092382044002176
9,mean,0.21263237507082522,0.011696804751891245
10,compensated,0.27545483398716897,0.014270771724695833
10,mean,0.2106091669993475,0.013128531616403864
10,original,0.24041045794729143,0.01469687151682309
11,mean,0.20770550007000566,0.014147706490026312
11,original,0.23990654107183218,0.009565806548332398
11,compensated,0.27918299997691065,0.01180740282819364
12,original,0.24118554196320474,0.007063330224723926
12,compensated,0.2747401249362156,0.011223294480282479
12,mean,0.21477475005667657,0.012214037104577797
13,compensated,0.2811290000099689,0.01416083916375334
13,mean,0.21637083392124623,0.019095514490908006
13,original,0.24105874996166676,0.016463720126717322
14,mean,0.21286654204595834,0.016432249497552866
14,original,0.2451158749172464,0.019110981599324398
14,compensated,0.273069457965903,0.017542246524901852
15,original,0.24206058401614428,0.015033307540405567
15,compensated,0.2829592500347644,0.014489566550499435
15,mean,0.21483379101846367,0.016206732118470644
16,compensated,0.28335087501909584,0.010387679709962364
16,mean,0.21891166700515896,0.011900660652194943
