seed,arm,seconds,error_l2
0,original,0.0971450419165194,0.02132618476287127
0,compensated,0.10790649999398738,0.015466565209742496
0,mean,0.08651266701053828,0.016544765389130082
1,compensated,0.10806679097004235,0.049315171023987546
1,mean,0.08596470800694078,0.054231607320310134
1,original,0.09424758399836719,0.05836702043730415
2,mean,0.08527629193849862,0.013797756402967088
2,original,0.09431950002908707,0.028851908499526378
2,compensated,0.10667033295612782,0.014476330854676107
3,original,0.09506745892576873,0.03591082523910913
3,compensated,0.10737895790953189,0.02859565260416996
3,mean,0.08568308292888105,0.03142572334641561
4,compensated,0.10732495901174843,0.019988702613769522
4,mean,0.085588917019777,0.020499667482025412
4,original,0.09606679191347212,0.02972137872085556
5,mean,0.08516391704324633,0.010334247848744855
5,original,0.09489754098467529,0.020087442069249575
5,compensated,0.10756995796691626,0.009079818490156563
6,original,0.09418233297765255,0.042292397296530004
6,compensated,0.10608879197388887,0.024849404027225977
6,mean,0.08551691600587219,0.025019888976470298
7,compensated,0.1086083329282701,0.018429409889116753
7,mean,0.08673454099334776,0.015992458269963882
7,original,0.09639720898121595,0.034062164075332066
8,mean,0.08700237493030727,0.04921552588306102
8,original,0.09422908304259181,0.05915266832889213
8,compensated,0.10551208292599767,0.04904556273191086
9,original,0.094318832969293,0.02594350865789299
9,compensated,0.10711308300960809,0.010183214819980564
9,mean,0.08688216598238796,0.010272038444708193
10,compensated,0.1095909159630537,0.011467951477733487
10,mean,0.08614995807874948,0.012547506849643331
10,original,0.09380499995313585,0.027034914554053602
11,mean,0.08518900000490248,0.036194534985300196
11,original,0.09424474998377264,0.0477171822420956
11,compensated,0.10724587505683303,0.041285647647237314
12,original,0.09363020805176347,0.05370096388839855
12,compensated,0.1068865000270307,0.03857077579767084
12,mean,0.08747916703578085,0.036578685016143996
13,compensated,0.10848320799414068,0.033209673526589795
13,mean,0.08547679206822067,0.028916935469120157
13,original,0.09436074993573129,0.03555146713622819
14,mean,0.08633208298124373,0.02204013479756102
14,original,0.09387733298353851,0.035268238849549854
14,compensated,0.10638345906045288,0.019043029425739967
15,original,0.09434083302039653,0.05099722570808725
15,compensated,0.10546516603790224,0.05228111198706633
15,mean,0.085647959029302,0.04509369471766999
16,compensated,0.10756708402186632,0.04766139898966064
16,mean,0.0883161670062691,0.04699547947171422
16,original,0.09470779204275459,0.055201104268775995
17,mean,0.08546012500301003,0.01795760258948652
17,original,0.09500883403234184,0.03378495231752066
17,compensated,0.10698608297389,0.017852863411008214
18,original,0.09392424998804927,0.03985797377142783
18,compensated,0.10624595789704472,0.0285829120475303
18,mean,0.08587008400354534,0.02431111803723126
19,compensated,0.10803779098205268,0.03319698980255815
19,mean,0.08834541693795472,0.03553615698433428
19,original,0.0955127920024097,0.041168370515968514
20,mean,0.08567829197272658,0.017827219176796496
20,original,0.09401170804630965,0.03368713549278992
20,compensated,0.10570291709154844,0.019207913991848367
21,original,0.09474270802456886,0.046991733741520575
21,compensated,0.10799941595178097,0.03180568583790982
