problem,N,dt,arm,S,mse,raw_bias2,spread2,bias2_corrected,bias_below_floor,bias_frac,seconds
shock,1600,0.01,mean,50,0.0027627054680899273,5.936031771407614e-05,0.0027033451503758518,4.190008522732222e-06,False,0.0015166323631411566,0.023832416499999454
shock,1600,0.01,compensated,50,0.0028921142900217873,4.359703438278321e-05,0.0028485172556390044,-1.4535970834339327e-05,True,0.0,0.029906499999924563
shock,1600,0.01,two_speed,50,0.003529518113225732,0.0006675773237521425,0.002861940789473591,0.0006091703688649264,False,0.17259307059007764,0.02577639600008297
shock,1600,0.005,mean,50,0.003462777202610061,0.00013303735298610792,0.0033297398496239523,6.508347850398645e-05,False,0.018795167778894326,0.043802166500199746
shock,1600,0.005,compensated,50,0.0035035308816217,0.00012279979139624516,0.0033807310902254552,5.38052793508277e-05,False,0.015357444009719284,0.0565774374999819
shock,1600,0.005,two_speed,50,0.003668587943902782,0.0002850405754818397,0.0033835473684209437,0.00021598858837120822,False,0.05887512897985251,0.04848708300028193
shock,1600,0.0025,mean,50,0.0030665891235239586,3.061152953909576e-05,0.0030359775939848635,-3.134719686875859e-05,True,0.0,0.08149854149996827
shock,1600,0.0025,compensated,50,0.00298950020406275,2.9292346919989223e-05,0.002960207857142761,-3.112005832782223e-05,True,0.0,0.10681039599990072
shock,1600,0.0025,two_speed,50,0.0030636679376073485,0.0001011491406149649,0.002962518796992385,4.068957332940603e-05,False,0.013281326226622201,0.09050387499996759
shock,6400,0.01,mean,50,0.000802131101376733,7.910266857607761e-05,0.0007230284328006559,6.434698627402341e-05,False,0.08022003655460042,0.11038137499986078
shock,6400,0.01,compensated,50,0.0007471528131168317,6.667328069211185e-05,0.0006804795324247197,5.2785943295689e-05,False,0.07064946068460416,0.1288456249999399
shock,6400,0.01,two_speed,50,0.001474199590982751,0.0007829963062084078,0.0006912032847743431,0.0007688901167232171,False,0.5215644621164554,0.11867937499982872
shock,6400,0.005,mean,50,0.0005917188454822099,6.499966550106945e-05,0.0005267191799811403,5.4250294481046174e-05,False,0.09168255311665109,0.20721885400007523
shock,6400,0.005,compensated,50,0.0005852208002385511,5.855249431755941e-05,0.0005266683059209913,4.780416154366163e-05,False,0.08168568431637327,0.24431933349978863
shock,6400,0.005,two_speed,50,0.0007561899595505323,0.0002260906785355573,0.0005300992810149754,0.0002152723258617823,False,0.28468022240038315,0.22422908350017678
shock,6400,0.0025,mean,50,0.0008910063406366788,2.766649571199599e-05,0.0008633398449246825,1.0047315203329001e-05,False,0.011276367793465506,0.39779283300003954
shock,6400,0.0025,compensated,50,0.000889355916962246,3.215212466913925e-05,0.0008572037922931068,1.4658169724381967e-05,False,0.016481781303541065,0.4733408964998489
shock,6400,0.0025,two_speed,50,0.0009330837025723182,7.461682522282121e-05,0.0008584668773494977,5.709709303201513e-05,False,0.06119182327867295,0.43262064599980476
shock,25600,0.01,mean,50,0.00019783753120306832,3.768841216532681e-05,0.00016014911903774188,3.4420062797209624e-05,False,0.17398146139358917,0.550098374999834
shock,25600,0.01,compensated,50,0.00018458037300165427,3.619324776677368e-05,0.00014838712523488042,3.3164939088510814e-05,False,0.17967749522433557,0.6204626454998561
shock,25600,0.01,two_speed,50,0.0008205791140309063,0.0006691662283989426,0.0001514128856319651,0.0006660761695084943,False,0.8117147489125676,0.5828367294998316
shock,25600,0.005,mean,50,0.00020423685441046008,2.8506695664104848e-05,0.00017573015874635433,2.4920365893771087e-05,False,0.12201698839176198,1.0466981039999155
shock,25600,0.005,compensated,50,0.0002054033438820781,2.8058883414628777e-05,0.00017734446046744926,2.4439608711211445e-05,False,0.1189834997294017,1.1841386875003082
shock,25600,0.005,two_speed,50,0.0004086164502887148,0.00022981372443122846,0.00017880272585748592,0.00022616468920964712,False,0.5534889480094272,1.160174333499981
shock,25600,0.0025,mean,50,0.00022537840175912023,6.651802693207927e-06,0.0002187265990659119,2.1879945490056434e-06,False,0.009708093286348382,2.0949284580001404
shock,25600,0.0025,compensated,50,0.0002271005809116803,8.010011421659333e-06,0.00021909056949002032,3.538775309618102e-06,False,0.015582414168259376,2.332840437500181
shock,25600,0.0025,two_speed,50,0.0002692965034223453,4.93818585093929e-05,0.00021991464491295204,4.4893804531577554e-05,False,0.16670771421480113,2.133108228999845
gaussian,1600,0.005,mean,50,0.000711176796537986,1.5798074733497775e-05,0.0006953787218044885,1.6066722476918862e-06,False,0.0022591741681016295,0.015089291500316904
gaussian,1600,0.005,compensated,50,0.0007101371343232153,1.0994324172862323e-05,0.0006991428101503531,-3.2738964424510058e-06,True,0.0,0.020462708000195562
gaussian,1600,0.005,two_speed,50,0.003934244918323913,0.0031039106796021372,0.0008303342387217777,0.0030869650828935294,False,0.784639783994092,0.01763491649990101
gaussian,1600,0.0025,mean,50,0.0006666937565245897,6.962920058445534e-06,0.0006597308364661444,-6.500974563312515e-06,True,0.0,0.028152958499958913
gaussian,1600,0.0025,compensated,50,0.000666099622436267,6.6918686768900255e-06,0.000659407753759377,-6.765432420240117e-06,True,0.0,0.043848875000549015
gaussian,1600,0.0025,two_speed,50,0.0015228332160304428,0.000823457868286104,0.0006993753477443383,0.0008091849020056074,False,0.5313680404968465,0.033675062500606145
gaussian,1600,0.00125,mean,50,0.0006597515543809669,2.7396422802039507e-05,0.0006323551315789273,1.4491216035122624e-05,False,0.021964656148054814,0.05278533350019643
gaussian,1600,0.00125,compensated,50,0.0005929841873462126,1.896832268457643e-05,0.0005740158646616363,7.2537132016858905e-06,False,0.01223255755629589,0.07636985450017164
gaussian,1600,0.00125,two_speed,50,0.0008598672321639321,0.00027795728855492763,0.0005819099436090047,0.00026608157542005,False,0.3094449532056619,0.06306191650037363
gaussian,6400,0.005,mean,50,0.00015049138866565299,6.079282227664743e-06,0.00014441210643798832,3.1320963819915126e-06,False,0.0208124624921237,0.07996237499992276
gaussian,6400,0.005,compensated,50,0.00014416179151059778,6.055210213590258e-06,0.0001381065812970075,3.236708554467656e-06,False,0.02245191683976621,0.10475797900016914
gaussian,6400,0.005,two_speed,50,0.003544998888907486,0.003347327425679077,0.00019767146322840928,0.0033432933141846195,False,0.943101371525386,0.09516368750018955
gaussian,6400,0.0025,mean,50,0.00017513564598139797,1.8880173394585363e-06,0.00017324762864193946,-1.6476485511932895e-06,True,0.0,0.14547500000026048
gaussian,6400,0.0025,compensated,50,0.00016107849018231799,2.5787891719595384e-06,0.00015849970101035842,-6.55898603762062e-07,True,0.0,0.17721868750004433
gaussian,6400,0.0025,two_speed,50,0.0010178742860190173,0.0008612394681148643,0.00015663481790415364,0.0008580428391780449,False,0.8429752583041614,0.15837906250044398
gaussian,6400,0.00125,mean,50,0.00015724757401969607,3.632384287531563e-06,0.0001536151897321645,4.97380415446573e-07,False,0.0031630403110974137,0.25753202050054824
gaussian,6400,0.00125,compensated,50,0.0001510334984670862,1.8653634811640067e-06,0.00014916813498592213,-1.1788841716099142e-06,True,0.0,0.31387056249968737
gaussian,6400,0.00125,two_speed,50,0.0003604015662247703,0.00021277712308565412,0.00014762444313911618,0.00020976437934812115,False,0.5820295997750969,0.28503089600008025
gaussian,25600,0.005,mean,50,4.3182796343937415e-05,1.2150650528014572e-06,4.196773129113596e-05,3.585807407374581e-07,False,0.008303786949818513,0.38220160399987435
gaussian,25600,0.005,compensated,50,3.8736214907324795e-05,1.0823756583080015e-06,3.765383924901681e-05,3.1392995934847477e-07,False,0.008104301365002816,0.42235120850000385
gaussian,25600,0.005,two_speed,50,0.003189024197239735,0.003141353874717101,4.767032252263434e-05,0.0031403810109921493,False,0.9847466863720605,0.433324166499915
gaussian,25600,0.0025,mean,50,3.487946396454918e-05,6.578246979130983e-07,3.4221639266636097e-05,-4.057610344682196e-08,True,0.0,0.7475517920001948
gaussian,25600,0.0025,compensated,50,4.169027703466225e-05,1.3353147020552428e-06,4.0354962332606994e-05,5.117440422061205e-07,False,0.012274901454376156,0.8205638954996175
gaussian,25600,0.0025,two_speed,50,0.000976691696407773,0.0009357631556344388,4.0928540773334734e-05,0.0009349278792921258,False,0.9572395083635372,0.7632875210001657
gaussian,25600,0.00125,mean,50,4.349332411050207e-05,2.968921282127681e-06,4.0524402828374356e-05,2.1418926529771836e-06,False,0.049246469355511815,1.3910344789996998
gaussian,25600,0.00125,compensated,50,4.358206573174293e-05,8.484861528977078e-07,4.2733579578845216e-05,-2.362771605831698e-08,True,0.0,1.6171121040001708
