case,arm,R,N,mse_anti,mse_indep,rms_ratio,ci_lo,ci_hi,partner_rho
shock,mean,60,6400,2.4472377063017903e-05,0.000415144447822707,0.24279428547154452,0.2145510798148387,0.28047096757704293,-0.9546764463908708
shock,compensated,60,6400,2.643979868209146e-05,0.0004153305655868838,0.2523086415165771,0.2222499812420457,0.2918975304428775,-0.9490066602696531
shock,two_speed,60,6400,0.00019396909325767925,0.0005853842661399032,0.5756330819541362,0.523554708350393,0.6378755915820599,-0.9494625095447407
gaussian,mean,60,6400,2.7459322917080092e-05,7.534398422311647e-05,0.6036992288432508,0.5486912331884696,0.6658629341258422,-0.6863851999020399
gaussian,compensated,60,6400,2.7860935283331866e-05,8.335639531149333e-05,0.5781338295982071,0.5190488102238978,0.6470141702436679,-0.6872380027210463
gaussian,two_speed,60,6400,0.0032024004307035655,0.0033391388972769383,0.9793108708480343,0.9592046450611814,1.0004073615611788,-0.6266361954872146
