seed,arm,seconds,error_l2
0,original,0.34340604208409786,0.027001766224407878
0,compensated,0.396302750101313,0.027366035984564867
0,mean,0.3149963340256363,0.028999681558084682
1,compensated,0.39634608302731067,0.024074654271845762
1,mean,0.3259392499458045,0.021262964850712864
1,original,0.34411229100078344,0.0242337772043061
2,mean,0.30570345802698284,0.011679454126089667
2,original,0.3427184160100296,0.014314781628572668
2,compensated,0.3939281249186024,0.012894373261572485
3,original,0.34809008392039686,0.03630828218015061
3,compensated,0.39338579191826284,0.03605228096314811
3,mean,0.31020645902026445,0.03674744004362767
4,compensated,0.3908962500281632,0.02314329575116985
4,mean,0.3118941669818014,0.023978307900042805
4,original,0.34212937497068197,0.027547719478726716
5,mean,0.30620804196223617,0.04558590746137929
5,original,0.34284945798572153,0.046422827226694205
5,compensated,0.38873591704759747,0.044835004617316106
6,original,0.34878300002310425,0.07261308036537004
6,compensated,0.3915297919884324,0.07237917830915387
6,mean,0.3118772079469636,0.07025140360564512
7,compensated,0.39115283300634474,0.03557008984811731
7,mean,0.31398733297828585,0.03622419298986166
7,original,0.3504765830002725,0.036611901644884155
8,mean,0.30727683298755437,0.021998960030289325
8,original,0.3431803750572726,0.026741816066102216
8,compensated,0.389621541951783,0.021802617360052352
9,original,0.3410464159678668,0.03279343023996498
9,compensated,0.39415662502869964,0.03024050009234135
9,mean,0.3058782499283552,0.02585337615758549
10,compensated,0.39296162500977516,0.015902866043578618
10,mean,0.3096887500723824,0.01407083262146081
10,original,0.34304550010710955,0.01813393884613686
11,mean,0.30713041708804667,0.01716740283959277
11,original,0.3452811250463128,0.019029840584145932
11,compensated,0.3935605420265347,0.017273372524997922
12,original,0.34788725001271814,0.014461798878783114
12,compensated,0.39357083302456886,0.012715296323464794
12,mean,0.31255916599184275,0.012575666963533266
13,compensated,0.39469429198652506,0.011353616658608835
13,mean,0.31258533406071365,0.011919474178220988
13,original,0.34602520801126957,0.01437633975917078
14,mean,0.31014862505253404,0.018272907409011083
14,original,0.3436518330127001,0.022047549106814605
14,compensated,0.394770042039454,0.018169357690518032
15,original,0.3523574999999255,0.013536729631302147
15,compensated,0.3937813340453431,0.011322352630010319
15,mean,0.31353737507015467,0.010714136180383044
16,compensated,0.39559970796108246,0.017082428343634916
16,mean,0.3110814579995349,0.017613356074446286
16,original,0.34446795796975493,0.020554092160597455
17,mean,0.3182638749713078,0.01517777386629255
17,original,0.3504227079683915,0.016591211237133516
17,compensated,0.39402137498836964,0.01789113880347622
18,original,0.3462821670109406,0.017442418144031586
18,compensated,0.3928796659456566,0.016630539122188887
18,mean,0.30922187492251396,0.016524829611913348
19,compensated,0.39196804095990956,0.010772174980558248
19,mean,0.307170124957338,0.01118166621280853
19,original,0.34250516700558364,0.012811700725657418
20,mean,0.3108195409877226,0.01663920970239976
20,original,0.3494331670226529,0.0164538875217873
20,compensated,0.388283959007822,0.016206381654275306
21,original,0.3458129579667002,0.019036542308086494
21,compensated,0.39505204197485,0.01577832154009544
21,mean,0.3067315419903025,0.013806479004111579
22,compensated,0.3893637500004843,0.019394395085296008
22,mean,0.30821791593916714,0.019073108188252502
22,original,0.34658404102083296,0.02166792099736588
23,mean,0.3064712079940364,0.02633023238053059
23,original,0.34363433299586177,0.027907456478353722
23,compensated,0.39362141699530184,0.02637416421515366
24,original,0.35682749992702156,0.017207620834809017
24,compensated,0.3983339590486139,0.01817080789039737
24,mean,0.310028790961951,0.01675091150568844
25,compensated,0.392341332975775,0.012525100232748486
25,mean,0.310300457989797,0.012254980616345685
25,original,0.3483280830550939,0.01151307530143954
26,mean,0.3073399169370532,0.045058522907565346
26,original,0.34577799995895475,0.046907259361312806
26,compensated,0.39142208301927894,0.045066240091584435
27,original,0.34831724991090596,0.03532595197192704
27,compensated,0.39306516700889915,0.033837486386591654
27,mean,0.3092851659748703,0.03535023036970805
28,compensated,0.3927851669723168,0.016434730473933862
28,mean,0.3082760829711333,0.015914693813049257
28,original,0.34419437509495765,0.020990089497848044
29,mean,0.3478045839583501,0.03447921330030669
29,original,0.345245165983215,0.033470864892915585
29,compensated,0.4016501670703292,0.03304226933159724
30,original,0.35259729204699397,0.020230027075044107
30,compensated,0.396652250085026,0.017610151152168175
30,mean,0.31426233309321105,0.01675542088849376
31,compensated,0.3906852500513196,0.01883695060685008
31,mean,0.3135093339951709,0.016974774410742854
31,original,0.34392895794007927,0.02004872005423871
32,mean,0.31094312493223697,0.03758742330065929
32,original,0.34772091708146036,0.03722323722395752
32,compensated,0.3909889579517767,0.03507833132904356
33,original,0.3517741250107065,0.010721119027815463
33,compensated,0.39035208302084357,0.01276443340129793
33,mean,0.31429374997969717,0.01252144650833987
34,compensated,0.39723458304069936,0.016595509860095947
34,mean,0.3087645419873297,0.017045523872974897
34,original,0.3468842499423772,0.017213971755030665
35,mean,0.31358795799314976,0.010200843413754027
35,original,0.344615290989168,0.01398298611792199
35,compensated,0.6453495840542018,0.011378910082554379
36,original,0.3494155830703676,0.03313458743747776
36,compensated,0.39364599995315075,0.033218127596344155
36,mean,0.31027549994178116,0.03328828019673274
37,compensated,0.4014473750721663,0.01591539545231217
