problem,N,h,K,seeds,V_RAW,V_FINAL,V_FULL,V_WITHIN,E_Delta,E_Delta_se,RAW_minus_FINAL,FINAL_minus_FULL,RAW_minus_FULL,final_step_share,cost_RAW,cost_FULL,cost_FINAL
gaussian,1600,0.005,200,64,0.00011583635407599093,0.00011211324174222929,2.7885791081654483e-05,3.2901975814915446e-05,3.2952126904235354e-06,1.1527310239879274e-07,3.7231123337616416e-06,8.422745066057481e-05,8.795056299433645e-05,0.042331876079080816,0.024676274140688292,0.02583914915612695,0.02508332360946497
twopulse,1600,0.005,200,64,0.0002589278779189204,0.0002475948379448827,4.219600329682996e-05,5.43345036371067e-05,8.047624241201388e-06,2.87599416013801e-07,1.1333039974037679e-05,0.00020539883464805274,0.00021673187462209042,0.052290600973201554,0.025071262343885792,0.028297175046816392,0.025981532531147877
twopulse,1600,0.0025,400,64,0.00027638132919352316,0.0002694326720254931,3.71888610635757e-05,4.6912875831178064e-05,4.673454927667721e-06,1.8946086324628225e-07,6.948657168030065e-06,0.0002322438109619174,0.00023919246812994745,0.02905048483489467,0.04657017190629631,0.04910901434396919,0.049264773375114146
shock,1600,0.005,500,64,7.726991071919668e-05,7.726991071919668e-05,7.726991071919668e-05,7.726991071919668e-05,0.0,0.0,0.0,0.0,0.0,nan,0.07969789251541215,0.07650036914100156,0.07438252926573341
