A,nu,a,at,dt,dtt,taut,n_steps,arm,seed,A_hat,xc_hat,nu_hat,fit_rms,at_bound,l2_vs_exact,runtime_s
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,4,0.9999507717404744,1.9875892782455595,0.4969746074982976,0.0015336284041892866,0,0.01666807247958909,0.2614278392866254
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,4,0.9998464089278508,1.963938194466519,0.4986444612932843,0.0016598485270348444,0,0.04249040789221696,0.2614278392866254
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,4,1.0001985393038213,1.944292410246918,0.5081336331332788,0.0023717417308979387,0,0.06597610709748895,0.2614278392866254
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,4,1.0004265926075637,1.9395630114598073,0.5006972775686835,0.003496085836994381,0,0.07183452360370711,0.2614278392866254
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,cond_mean,4,0.9999600740077134,1.934965120538958,0.5006430553836291,0.0015678562506512205,0,0.07545008293295899,0.2614278392866254
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,cond_mean,4,1.0001251907807862,1.9552228681080739,0.4950023630583269,0.0018610119249866687,0,0.05308491059047978,0.2614278392866254
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,cond_mean,4,0.9999236484378408,1.9739983473119587,0.49509494474209664,0.0016993607094321819,0,0.031875125454067746,0.2614278392866254
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,5,1.0001662880755902,2.006421234369166,0.5032766084007606,0.001143813797554374,0,0.010116095579357389,0.23944314871914685
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,5,1.0002223200893332,2.008088725121918,0.5057212348432902,0.0020332374949925285,0,0.015383847667059093,0.23944314871914685
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,5,1.0002445833405806,2.009845215255679,0.5024278514308866,0.0018044681524093259,0,0.014684360574688235,0.23944314871914685
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,5,0.9996278259958071,2.006055718710205,0.4982921802742361,0.0017688850206701132,0,0.011358904600287585,0.23944314871914685
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,cond_mean,5,0.9999482506332676,2.005276409460558,0.5040030535281614,0.0015506939409435255,0,0.01111504739528354,0.23944314871914685
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,cond_mean,5,1.0000394200433007,2.0147674959965776,0.5045798955726034,0.0015856852102282997,0,0.019619299170401314,0.23944314871914685
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,cond_mean,5,1.0000536080772031,2.047634259493395,0.5116511082843647,0.0018448958581691688,0,0.05735147713136879,0.23944314871914685
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,6,1.0002395812035567,2.00716245420569,0.5093059611926491,0.001941765196132025,0,0.017216454369630353,0.2405587797152943
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,6,1.0000837575246952,2.0195015176143114,0.5059497411776519,0.0016620952858984563,0,0.025099697655462577,0.2405587797152943
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,6,0.9999633867670843,2.0286100662317517,0.49733340606719256,0.0019067425893681239,0,0.03452458586347635,0.2405587797152943
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,6,0.9997092594925676,2.0174913676149124,0.48521848898033065,0.0018834718918038027,0,0.029283676876638867,0.2405587797152943
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,cond_mean,6,0.9998038056867384,2.020735367754886,0.48693737730814635,0.002833495453997958,0,0.03263857750243689,0.2405587797152943
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,cond_mean,6,1.0001472493888228,2.038818894433258,0.5062730667410782,0.0027063363239823476,0,0.04732975992205602,0.2405587797152943
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,cond_mean,6,0.9998289350308631,2.014850198519941,0.5051865134435558,0.0027566131551920526,0,0.0229951901857639,0.2405587797152943
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,7,0.9999710644858041,1.990705414338327,0.4984776848631135,0.002869713518628095,0,0.017799330634087174,0.24270763700561865
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,7,0.9999815771920582,1.9865498955955843,0.5003160858996599,0.0016695748327785413,0,0.017562812062678557,0.24270763700561865
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,7,1.0001341881907138,1.982337047719953,0.5034086256881053,0.002619794352191999,0,0.02445892615203658,0.24270763700561865
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,7,0.9997494376618823,1.9848980549129798,0.49950588609899665,0.0028708170482395733,0,0.02244155787520451,0.24270763700561865
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,cond_mean,7,0.99981649350608,1.986282960269326,0.4987886012004175,0.001790561183045957,0,0.0181719119804129,0.24270763700561865
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,cond_mean,7,1.0000052498561718,2.037119662554697,0.49653120371681836,0.0014812966307930363,0,0.043785100804253595,0.24270763700561865
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,cond_mean,7,0.9996802403424072,1.988047274276157,0.49463401653436456,0.0032968704497411635,0,0.022227072131742187,0.24270763700561865
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,8,1.0003039825674804,1.9994818916850376,0.504835378637553,0.00207686760093735,0,0.011760979934206387,0.2425278451493276
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,8,1.0001506254706123,1.9969513371277055,0.5034588065444411,0.0016957841606676858,0,0.009991260388243233,0.2425278451493276
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,8,1.000042607355268,1.994798563127592,0.5036994467391493,0.0013415331767162812,0,0.01009123855543564,0.2425278451493276
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,8,1.0001342508291848,1.9846241909088416,0.5067793591653896,0.0017551715400626786,0,0.021480900483870875,0.2425278451493276
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,cond_mean,8,0.9999689640319622,1.9965677090341085,0.5045360620092876,0.0014676247164004562,0,0.010171596401132769,0.2425278451493276
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,cond_mean,8,1.000081458255261,1.9856345222160505,0.505729649521066,0.0019373511657348936,0,0.020421321900000004,0.2425278451493276
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,cond_mean,8,0.999953380175094,2.005042645897042,0.49929454362009856,0.0019090906401117364,0,0.01106304801101229,0.2425278451493276
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,9,1.0002726185685862,2.0048677238745625,0.508257465114171,0.0016957808563916885,0,0.014386470032648115,0.23974545241799206
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,9,1.000177259610971,2.0086091605087155,0.5089892907247227,0.0028322809707704605,0,0.020543511827600454,0.23974545241799206
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,9,0.9999776169858886,2.0024892958573193,0.5121704043335136,0.0022162528179630603,0,0.01946631862930646,0.23974545241799206
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,9,1.0002318223148101,2.003649412437604,0.5109378889006112,0.001608068569666853,0,0.01642895182007439,0.23974545241799206
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,cond_mean,9,0.999995909786375,2.0120907501493255,0.49819663124081925,0.0017932256404581024,0,0.01668123050272577,0.23974545241799206
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,cond_mean,9,0.999772795921317,2.026456516831285,0.4975068610910503,0.0017120452261230581,0,0.03185918024117282,0.23974545241799206
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,cond_mean,9,0.999730785318656,2.0287732286985634,0.4986238001789807,0.0016977296776427503,0,0.034312681185634894,0.23974545241799206
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,10,1.0002444687875707,1.986980559426725,0.5032285303433252,0.0015259048956075682,0,0.01721654912854978,0.24367051786144397
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,10,1.00006503995531,1.9865044585700316,0.5009672788107616,0.0024164821337188964,0,0.019610096971127904,0.24367051786144397
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,10,1.0001444906926564,1.9813438011252409,0.5017071938145284,0.0014776635582215629,0,0.022805687772146924,0.24367051786144397
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,10,1.0000852016455521,1.9710023467534143,0.49805983804920917,0.001696198228488808,0,0.034635600067762486,0.24367051786144397
